Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,Trust Factor,User_Attention
23:28:07,1168,98,36,82,0,1,1
23:28:08,1169,98,36,82,0,1,1
23:28:09,1170,98,34,82,0,1,1
23:28:10,1171,98,35,82,0,1,1
23:28:11,1172,98,36,82,0,1,1
23:28:12,1173,98,34,82,0,1,1
23:28:13,1174,98,38,82,0,1,1
23:28:14,1175,98,34,82,0,1,1
23:28:15,1176,100,35,82,0,1,1
23:28:16,1177,99,37,82,0,1,1
23:28:17,1178,99,35,82,0,1,1
23:28:18,1179,98,35,82,0,1,1
23:28:19,1180,98,36,82,0,1,1
23:28:20,1181,97,35,82,0,1,1
23:28:21,1182,97,37,82,0,1,1
23:28:22,1183,96,34,82,0,1,1
23:28:23,1184,96,35,82,0,1,1
23:28:24,1185,96,37,82,0,1,1
23:28:25,1186,96,47,82,0,1,1
23:28:26,1187,96,36,82,0,1,1
23:28:27,1188,96,35,82,0,1,1
23:28:28,1189,96,35,82,0,1,1
23:28:29,1190,96,36,82,0,1,1
23:28:30,1191,96,35,82,0,1,1
23:28:31,1192,96,34,82,0,1,1
23:28:32,1193,96,36,82,0,1,1
23:28:33,1194,96,35,82,0,1,1
23:28:34,1195,96,36,82,0,1,1
23:28:35,1196,96,36,82,0,1,1
23:28:36,1197,96,34,82,0,1,1
23:28:37,1198,96,36,82,0,1,1
23:28:38,1199,96,36,82,0,1,1
23:28:39,1200,96,36,82,0,1,1
23:28:40,1201,96,34,82,0,1,1
23:28:41,1202,96,37,82,0,1,1
23:28:42,1203,96,34,82,0,1,1
23:28:43,1204,96,36,82,0,1,1
23:28:44,1205,96,36,82,0,1,1
23:28:45,1206,96,35,82,0,1,1
23:28:46,1207,96,37,82,0,1,1
23:28:47,1208,96,37,82,0,1,1
23:28:48,1209,96,37,82,0,1,1
23:28:49,1210,96,36,82,0,1,1
23:28:50,1211,95,36,82,0,1,1
23:28:51,1212,95,34,82,0,1,1
23:28:52,1213,95,36,82,0,1,1
23:28:53,1214,95,36,82,0,1,1
23:28:54,1215,95,35,82,0,1,1
23:28:55,1216,95,35,82,0,1,1
23:28:56,1217,95,34,82,0,1,1
23:28:57,1218,95,35,82,0,1,1
23:28:58,1219,95,37,82,0,1,1
23:28:59,1220,95,33,82,0,1,1
23:29:00,1221,95,35,82,0,1,1
23:29:01,1222,95,36,82,0,1,1
23:29:02,1223,95,32,82,0,1,1
23:29:03,1224,95,34,82,0,1,1
23:29:04,1225,95,34,82,0,1,1
23:29:05,1226,95,33,82,0,1,1
23:29:06,1227,95,36,82,0,1,1
23:29:07,1228,95,34,82,0,1,1
23:29:08,1229,95,33,82,0,1,1
