Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention,Trust Factor
15:06:14,858,93,31,41,0,1,1
15:06:15,859,93,31,42,0,1,1
15:06:16,860,93,32,42,0,1,1
15:06:17,861,93,30,42,0,1,1
15:06:18,862,93,30,42,0,1,1
15:06:19,863,93,31,42,0,1,1
15:06:20,864,90,30,42,0,1,1
15:06:21,865,90,32,42,0,1,1
15:06:22,866,90,30,41,0,1,1
15:06:23,867,90,32,42,0,1,1
15:06:24,868,90,34,42,0,1,1
15:06:25,869,90,32,41,0,1,1
15:06:26,870,90,31,42,0,1,1
15:06:27,871,90,31,42,0,1,1
15:06:28,872,90,30,42,0,1,1
15:06:29,873,90,30,42,0,1,1
15:06:30,874,91,31,41,0,1,1
15:06:31,875,91,31,41,0,1,1
15:06:32,876,91,32,42,0,1,1
15:06:33,877,91,30,42,0,1,1
15:06:34,878,91,31,42,0,1,1
15:06:35,879,91,33,41,0,1,1
15:06:36,880,91,34,42,0,1,1
15:06:37,881,91,32,42,0,1,1
15:06:38,882,91,32,42,0,1,1
15:06:39,883,91,31,42,0,1,1
15:06:40,884,90,29,41,0,1,1
15:06:41,885,90,30,42,0,1,1
15:06:42,886,90,31,42,0,1,1
15:06:43,887,90,30,42,0,1,1
15:06:44,888,90,31,42,0,1,1
15:06:45,889,90,32,42,0,1,1
15:06:46,890,90,31,41,0,1,1
15:06:47,891,90,33,42,0,1,1
15:06:48,892,90,32,42,0,1,1
15:06:49,893,90,30,42,0,1,1
15:06:50,894,89,30,42,0,1,1
15:06:51,895,89,31,42,0,1,1
15:06:52,896,89,30,42,0,1,1
15:06:53,897,89,31,42,0,1,1
15:06:54,898,89,33,41,0,1,1
15:06:55,899,89,33,41,0,1,1
15:06:56,900,89,30,41,0,1,1
15:06:57,901,89,31,42,0,1,1
15:06:58,902,89,30,42,0,1,1
15:06:59,903,89,32,42,0,1,1
15:07:00,904,89,31,41,0,1,1
15:07:01,905,89,30,41,0,1,1
15:07:02,906,90,31,41,0,1,1
15:07:03,907,90,32,41,0,1,1
15:07:04,908,90,31,42,0,1,1
15:07:05,909,90,32,42,0,1,1
15:07:06,910,90,33,42,0,1,1
15:07:07,911,90,30,41,0,1,1
15:07:08,912,90,31,41,0,1,1
15:07:09,913,90,32,42,0,1,1
15:07:10,914,91,31,42,0,1,1
15:07:11,915,91,30,42,0,1,1
15:07:12,916,91,29,42,0,1,1
15:07:13,917,91,30,42,0,1,1
15:07:14,918,91,29,42,0,1,1
15:07:15,919,91,32,41,0,1,1
15:07:16,920,91,30,41,0,1,1
15:07:17,921,91,31,41,0,1,1
15:07:18,922,91,31,42,0,1,1
15:07:19,923,91,31,42,0,1,1
15:07:20,924,90,30,42,0,1,1
15:07:21,925,90,32,42,0,1,1
15:07:22,926,90,29,42,0,1,1
15:07:23,927,90,32,41,0,1,1
15:07:24,928,89,32,41,0,1,1
15:07:25,929,89,31,41,0,1,1
15:07:26,930,89,30,41,0,1,1
15:07:27,931,89,31,42,0,1,1
15:07:28,932,89,30,42,0,1,1
15:07:29,933,89,31,42,0,1,1
15:07:30,934,89,34,121,1,1,1
15:07:31,935,89,29,5,0,1,1
15:07:32,936,89,26,5,0,1,1
15:07:33,937,88,24,5,0,1,1
15:07:34,938,88,27,5,0,1,1
15:07:35,939,88,23,5,0,1,1
15:07:36,940,88,23,5,0,1,1
15:07:37,941,88,24,5,0,1,1
15:07:38,942,88,22,5,0,1,1
15:07:39,943,88,24,6,0,1,1
15:07:40,944,89,22,5,0,1,1
15:07:41,945,89,21,6,0,1,1
15:07:42,946,89,22,6,0,1,1
15:07:43,947,89,23,5,0,1,1
15:07:44,948,89,24,5,0,1,1
15:07:45,949,89,25,5,0,1,1
15:07:46,950,89,23,5,0,1,1
15:07:47,951,89,24,5,0,1,1
15:07:48,952,89,23,5,0,1,1
15:07:49,953,89,23,5,0,1,1
15:07:50,954,92,22,5,0,1,1
15:07:51,955,92,24,5,0,1,1
15:07:52,956,92,25,5,0,1,1
15:07:53,957,92,25,5,0,1,1
15:07:54,958,92,24,5,0,1,1
15:07:55,959,92,22,5,0,1,1
15:07:56,960,92,24,5,0,1,1
15:07:57,961,92,24,5,0,1,1
15:07:58,962,92,25,5,0,1,1
15:07:59,963,92,22,5,0,1,1
15:08:00,964,93,24,5,0,1,1
15:08:01,965,93,24,5,0,1,1
15:08:02,966,93,23,5,0,1,1
15:08:03,967,93,24,4,0,1,1
15:08:04,968,93,21,4,0,1,1
15:08:05,969,93,21,3,0,1,1
15:08:06,970,93,23,2,0,1,1
15:08:07,971,93,23,3,0,1,1
15:08:08,972,93,27,4,0,1,1
15:08:09,973,93,23,3,0,1,1
15:08:10,974,93,22,3,0,1,1
15:08:11,975,93,22,3,0,1,1
15:08:12,976,93,24,5,0,1,1
15:08:13,977,93,22,5,0,1,1
15:08:14,978,93,24,5,0,1,1
15:08:15,979,93,24,5,0,1,1
15:08:16,980,93,26,5,0,1,1
15:08:17,981,93,26,3,0,1,1
15:08:18,982,93,24,3,0,1,1
15:08:19,983,93,23,4,0,1,1
15:08:20,984,93,25,4,0,1,1
15:08:21,985,93,23,4,0,1,1
15:08:22,986,93,23,4,0,1,1
15:08:23,987,93,26,4,0,1,1
15:08:24,988,93,22,4,0,1,1
15:08:25,989,93,25,4,1,1,1
15:08:26,990,93,23,4,0,1,1
15:08:27,991,93,22,4,0,1,1
15:08:28,992,93,23,4,0,1,1
15:08:29,993,93,22,4,0,1,1
15:08:30,994,89,23,4,0,1,1
15:08:31,995,89,23,4,0,1,1
15:08:32,996,89,22,4,0,1,1
15:08:33,997,89,22,4,0,1,1
15:08:34,998,89,24,4,0,1,1
15:08:35,999,89,28,4,0,1,1
15:08:36,1000,89,23,4,0,1,1
15:08:37,1001,89,23,4,0,1,1
15:08:38,1002,89,30,4,1,1,1
15:08:39,1003,89,24,4,0,1,1
15:08:40,1004,88,22,4,0,1,1
15:08:41,1005,88,24,4,0,1,1
15:08:42,1006,88,23,4,0,1,1
15:08:43,1007,88,24,4,0,1,1
15:08:44,1008,88,24,4,0,1,1
15:08:45,1009,88,23,4,0,1,1
15:08:46,1010,88,23,4,0,1,1
15:08:47,1011,88,25,4,0,1,1
15:08:48,1012,88,22,4,0,1,1
15:08:49,1013,88,24,4,0,1,1
15:08:50,1014,93,23,4,0,1,1
15:08:51,1015,93,24,4,0,1,1
15:08:52,1016,93,23,4,0,1,1
15:08:53,1017,93,24,4,0,1,1
15:08:54,1018,93,24,4,0,1,1
15:08:55,1019,93,23,4,0,1,1
15:08:56,1020,93,23,4,0,1,1
15:08:57,1021,93,23,4,0,1,1
15:08:58,1022,93,26,4,0,1,1
15:08:59,1023,93,21,4,0,1,1
15:09:00,1024,94,22,4,0,1,1
15:09:01,1025,94,22,4,0,1,1
15:09:02,1026,94,22,4,0,1,1
15:09:03,1027,94,22,4,0,1,1
15:09:04,1028,94,22,4,0,1,1
15:09:05,1029,94,23,4,0,1,1
15:09:06,1030,94,20,4,0,1,1
15:09:07,1031,94,24,4,0,1,1
15:09:08,1032,94,22,4,0,1,1
15:09:09,1033,94,25,4,0,1,1
15:09:10,1034,91,26,4,0,1,1
15:09:11,1035,91,28,4,0,1,1
15:09:12,1036,91,28,6,0,1,1
15:09:13,1037,91,26,6,0,1,1
15:09:14,1038,91,24,6,0,1,1
15:09:15,1039,91,24,6,0,1,1
15:09:16,1040,91,22,6,0,1,1
15:09:17,1041,91,23,6,0,1,1
15:09:18,1042,91,23,6,0,1,1
15:09:19,1043,91,23,6,0,1,1
15:09:20,1044,91,23,6,0,1,1
15:09:21,1045,91,25,6,0,1,1
15:09:22,1046,91,25,6,0,1,1
15:09:23,1047,91,22,6,0,1,1
15:09:24,1048,91,22,6,0,1,1
15:09:25,1049,91,22,6,0,1,1
15:09:26,1050,91,22,6,0,1,1
15:09:27,1051,91,23,6,0,1,1
15:09:28,1052,91,21,6,0,1,1
15:09:29,1053,91,23,6,0,1,1
15:09:30,1054,93,23,6,0,1,1
15:09:31,1055,93,21,6,0,1,1
15:09:32,1056,93,23,7,0,1,1
15:09:33,1057,93,22,7,0,1,1
15:09:34,1058,93,23,7,0,1,1
15:09:35,1059,93,22,7,0,1,1
15:09:36,1060,93,23,6,0,1,1
15:09:37,1061,93,25,9,0,1,1
15:09:38,1062,93,24,5,0,1,1
15:09:39,1063,93,25,5,0,1,1
15:09:40,1064,93,27,5,0,1,1
15:09:41,1065,93,27,5,0,1,1
15:09:42,1066,93,25,5,0,1,1
15:09:43,1067,93,25,5,0,1,1
15:09:44,1068,93,23,5,0,1,1
