Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active
18:09:13,802,60,32,41,0
18:09:14,803,60,32,41,0
18:09:15,804,60,32,41,0
18:09:16,805,59,32,41,0
18:09:17,806,59,32,41,0
18:09:18,807,59,32,41,0
18:09:19,808,59,32,41,0
18:09:20,809,58,33,41,0
18:09:21,810,58,32,41,0
18:09:22,811,58,32,41,0
18:09:23,812,59,33,41,0
18:09:24,813,59,33,41,0
18:09:25,814,59,32,41,0
18:09:26,815,59,34,41,0
18:09:27,816,59,33,41,0
18:09:28,817,59,34,41,0
18:09:29,818,61,34,41,0
18:09:30,819,60,35,41,0
18:09:31,820,60,33,41,0
18:09:32,821,60,33,41,0
18:09:33,822,60,34,41,0
18:09:34,823,60,33,41,0
18:09:35,824,60,34,41,0
18:09:36,825,63,33,41,0
18:09:37,826,63,33,41,0
18:09:38,827,63,33,41,0
18:09:39,828,65,34,41,0
18:09:40,829,65,34,41,0
18:09:41,830,65,33,41,0
18:09:42,831,67,34,41,0
18:09:43,832,67,34,41,0
18:09:44,833,67,35,41,0
18:09:45,834,65,34,41,0
18:09:46,835,65,36,41,0
18:09:47,836,65,33,41,0
18:09:48,837,63,33,41,0
18:09:49,838,63,34,41,0
18:09:50,839,63,34,41,0
18:09:51,840,60,34,41,0
18:09:52,841,60,33,41,0
18:09:53,842,60,34,41,0
18:09:54,843,59,35,41,0
18:09:55,844,59,34,41,0
18:09:56,845,59,35,41,0
18:09:57,846,59,32,41,0
18:09:58,847,59,32,41,0
18:09:59,848,59,32,41,0
18:10:00,849,59,33,41,0
18:10:01,850,59,33,41,0
18:10:02,851,59,32,41,0
18:10:03,852,59,33,41,0
18:10:04,853,59,33,41,0
18:10:05,854,59,34,41,0
18:10:06,855,59,34,41,0
18:10:07,856,59,34,41,0
18:10:08,857,59,34,41,0
18:10:09,858,59,36,41,0
18:10:10,859,65,35,41,0
18:10:11,860,65,36,41,0
18:10:12,861,65,36,41,0
18:10:13,862,63,36,41,0
18:10:14,863,63,36,41,0
18:10:15,864,63,37,41,0
18:10:16,865,62,36,41,0
18:10:17,866,62,36,41,0
18:10:18,867,62,36,41,0
18:10:19,868,62,36,41,0
18:10:20,869,62,37,41,0
18:10:21,870,62,35,41,0
18:10:22,871,62,34,41,0
18:10:23,872,68,32,41,0
18:10:24,873,68,33,41,0
18:10:25,874,68,33,41,0
18:10:26,875,73,32,41,0
18:10:27,876,73,32,41,0
18:10:28,877,73,33,41,0
18:10:29,878,71,32,41,0
18:10:30,879,70,32,41,0
18:10:31,880,70,33,41,0
18:10:32,881,70,32,41,0
18:10:33,882,69,32,41,0
18:10:34,883,69,32,41,0
18:10:35,884,69,32,41,0
18:10:36,885,67,32,41,0
18:10:37,886,67,32,41,0
18:10:38,887,67,32,41,0
18:10:39,888,66,32,41,0
18:10:40,889,66,32,41,0
18:10:41,890,66,34,41,0
18:10:42,891,66,38,41,0
18:10:43,892,66,37,41,0
18:10:44,893,66,36,41,0
18:10:45,894,62,36,41,0
18:10:46,895,62,36,41,0
18:10:47,896,62,33,41,0
18:10:48,897,62,32,41,0
18:10:49,898,62,32,41,0
18:10:50,899,62,32,41,0
18:10:51,900,62,30,41,0
18:10:52,901,62,31,41,0
18:10:53,902,60,33,41,0
18:10:54,903,60,32,41,0
18:10:55,904,60,31,41,0
18:10:56,905,60,32,41,0
18:10:57,906,60,33,41,0
18:10:58,907,60,32,41,0
18:10:59,908,60,34,41,0
18:11:00,909,59,33,41,0
18:11:01,910,59,35,41,0
18:11:02,911,59,35,41,0
18:11:03,912,62,35,41,0
18:11:04,913,62,34,41,0
18:11:05,914,62,33,41,0
18:11:06,915,64,40,41,0
18:11:07,916,64,38,41,0
18:11:08,917,64,39,41,0
18:11:09,918,67,40,41,0
18:11:10,919,66,39,41,0
18:11:11,920,66,38,41,0
18:11:12,921,66,36,41,0
18:11:13,922,66,36,41,0
18:11:14,923,66,34,41,0
18:11:15,924,66,34,41,0
18:11:16,925,67,34,41,0
18:11:17,926,67,35,41,0
18:11:18,927,67,37,41,0
18:11:19,928,64,35,41,0
18:11:20,929,62,33,41,0
18:11:21,930,62,34,41,0
18:11:22,931,62,34,41,0
18:11:23,932,62,34,41,0
18:11:24,933,62,35,41,0
18:11:25,934,61,36,41,0
18:11:26,935,61,34,41,0
18:11:27,936,61,34,41,0
18:11:28,937,61,36,41,0
18:11:29,938,62,34,41,0
18:11:30,939,62,35,41,0
18:11:31,940,62,35,41,0
18:11:32,941,62,35,41,0
18:11:33,942,60,34,41,0
18:11:34,943,60,37,37,0
18:11:35,944,60,34,37,0
18:11:36,945,61,34,37,0
18:11:37,946,61,39,37,0
18:11:38,947,61,35,37,0
