HEART RATE DATE/TIME,VALUE
 11:29:38 PM,95
 11:29:39 PM,94
 11:29:41 PM,93
 11:29:42 PM,92
 11:29:45 PM,92
 11:29:48 PM,92
 11:29:50 PM,88
 11:29:53 PM,88
 11:29:56 PM,88
 11:29:59 PM,88
 11:30:00 PM,102
 11:30:03 PM,102
 11:30:06 PM,102
 11:30:09 PM,102
 11:30:10 PM,99
 11:30:13 PM,99
 11:30:16 PM,99
 11:30:19 PM,99
 11:30:22 PM,99
 11:30:25 PM,99
 11:30:28 PM,99
 11:30:30 PM,90
 11:30:33 PM,90
 11:30:40 PM,88
 11:30:43 PM,88
 11:30:46 PM,88
 11:30:49 PM,88
 11:30:50 PM,87
 11:30:53 PM,87
 11:30:56 PM,87
 11:30:59 PM,87
 11:31:00 PM,82
 11:31:03 PM,82
 11:31:06 PM,82
 11:31:09 PM,82
 11:31:12 PM,82
 11:31:15 PM,82
 11:31:18 PM,82
 11:31:21 PM,82
 11:31:24 PM,82
 11:31:27 PM,82
 11:31:30 PM,82
 11:31:33 PM,84
 11:31:34 PM,85
 11:31:35 PM,87
 11:31:38 PM,87
 11:31:41 PM,87
 11:31:44 PM,87
 11:31:47 PM,87
 11:31:50 PM,90
 11:31:57 PM,95
 11:32:00 PM,95
 11:32:03 PM,95
 11:32:04 PM,95
 11:32:07 PM,95
 11:32:10 PM,94
 11:32:13 PM,94
 11:32:16 PM,94
 11:32:19 PM,94
 11:32:20 PM,93
 11:32:23 PM,93
 11:32:26 PM,93
 11:32:29 PM,93
 11:32:30 PM,96
 11:32:33 PM,96
 11:32:36 PM,96
 11:32:39 PM,96
 11:32:40 PM,98
 11:32:43 PM,98
 11:32:46 PM,98
 11:32:49 PM,98
 11:32:50 PM,107
 11:32:53 PM,107
 11:32:56 PM,107
 11:32:59 PM,107
 11:33:00 PM,99
 11:33:10 PM,103
 11:33:13 PM,103
 11:33:16 PM,103
 11:33:19 PM,103
 11:33:20 PM,100
 11:33:23 PM,100
 11:33:26 PM,100
 11:33:28 PM,98
 11:33:29 PM,98
 11:33:30 PM,97
 11:33:32 PM,96
 11:33:35 PM,95
 11:33:36 PM,94
 11:33:37 PM,93
 11:33:40 PM,97
 11:33:43 PM,97
 11:33:46 PM,97
 11:33:49 PM,97
 11:33:50 PM,100
 11:33:53 PM,100
 11:33:56 PM,100
 11:33:59 PM,100
 11:34:00 PM,97
 11:34:03 PM,97
 11:34:06 PM,97
 11:34:09 PM,97
 11:34:10 PM,96
 11:34:20 PM,99
 11:34:23 PM,99
 11:34:26 PM,99
 11:34:29 PM,99
 11:34:30 PM,101
 11:34:33 PM,101
 11:34:36 PM,101
 11:34:38 PM,100
 11:34:39 PM,97
 11:34:40 PM,97
 11:34:43 PM,97
 11:34:45 PM,96
 11:34:47 PM,95
 11:34:50 PM,94
 11:34:53 PM,94
 11:34:56 PM,94
 11:34:59 PM,94
 11:35:00 PM,93
 11:35:03 PM,93
 11:35:06 PM,93
 11:35:09 PM,93
 11:35:10 PM,94
 11:35:13 PM,94
 11:35:16 PM,94
 11:35:19 PM,94
 11:35:20 PM,95
 11:35:23 PM,94
 11:35:24 PM,93
 11:35:27 PM,93
 11:35:30 PM,93
 11:35:32 PM,94
 11:35:35 PM,94
 11:35:38 PM,94
 11:35:40 PM,93
 11:35:43 PM,93
 11:35:46 PM,93
 11:35:49 PM,93
 11:35:50 PM,99
 11:35:53 PM,99
 11:35:56 PM,99
 11:35:59 PM,99
 11:36:00 PM,98
 11:36:03 PM,98
 11:36:06 PM,100
 11:36:09 PM,100
 11:36:12 PM,100
 11:36:15 PM,100
 11:36:18 PM,100
 11:36:19 PM,103
 11:36:21 PM,104
 11:36:24 PM,104
 11:36:27 PM,104
 11:36:30 PM,104
 11:36:33 PM,104
 11:36:40 PM,104
 11:36:43 PM,104
 11:36:46 PM,104
 11:36:49 PM,104
 11:36:51 PM,103
 11:36:54 PM,103
 11:36:57 PM,103
 11:37:00 PM,101
 11:37:02 PM,100
 11:37:05 PM,100
 11:37:08 PM,100
 11:37:11 PM,100
 11:37:14 PM,100
 11:37:17 PM,100
 11:37:20 PM,100
 11:37:23 PM,100
 11:37:26 PM,100
 11:37:29 PM,100
 11:37:30 PM,96
 11:37:33 PM,96
 11:37:36 PM,96
 11:37:39 PM,96
 11:37:40 PM,99
 11:37:43 PM,99
 11:37:46 PM,99
 11:37:49 PM,99
 11:37:52 PM,99
 11:38:00 PM,94
 11:38:03 PM,94
 11:38:06 PM,94
 11:38:09 PM,94
 11:38:10 PM,99
 11:38:13 PM,99
 11:38:16 PM,99
 11:38:19 PM,99
 11:38:20 PM,104
 11:38:23 PM,104
 11:38:26 PM,104
 11:38:29 PM,104
 11:38:30 PM,100
 11:38:33 PM,100
 11:38:36 PM,100
 11:38:39 PM,100
 11:38:40 PM,111
 11:38:43 PM,111
 11:38:46 PM,111
 11:38:49 PM,111
 11:38:50 PM,105
 11:38:53 PM,105
 11:38:56 PM,105
 11:38:59 PM,105
 11:39:00 PM,107
 11:39:03 PM,107
 11:39:10 PM,101
 11:39:13 PM,101
 11:39:16 PM,101
 11:39:19 PM,101
 11:39:20 PM,104
 11:39:23 PM,104
 11:39:26 PM,104
 11:39:29 PM,104
 11:39:30 PM,107
 11:39:33 PM,107
 11:39:36 PM,107
 11:39:39 PM,107
 11:39:40 PM,103
 11:39:43 PM,103
 11:39:46 PM,103
 11:39:49 PM,103
 11:39:50 PM,102
 11:39:53 PM,102
 11:39:56 PM,102
 11:39:59 PM,102
 11:40:00 PM,98
 11:40:03 PM,98
 11:40:06 PM,98
 11:40:09 PM,98
 11:40:10 PM,99
 11:40:13 PM,99
 11:40:16 PM,99
 11:40:20 PM,104
 11:40:23 PM,104
 11:40:26 PM,104
 11:40:29 PM,104
 11:40:30 PM,106
 11:40:33 PM,106
 11:40:36 PM,106
 11:40:39 PM,106
 11:40:40 PM,105
 11:40:43 PM,105
 11:40:46 PM,105
 11:40:49 PM,105
 11:40:50 PM,110
 11:40:53 PM,110
 11:40:56 PM,110
 11:40:59 PM,110
 11:41:02 PM,110
 11:41:03 PM,111
 11:41:05 PM,112
 11:41:06 PM,113
 11:41:09 PM,113
 11:41:12 PM,113
 11:41:15 PM,113
 11:41:18 PM,113
 11:41:20 PM,111
 11:41:23 PM,111
 11:41:26 PM,111
 11:41:30 PM,100
 11:41:33 PM,100
 11:41:36 PM,100
 11:41:39 PM,100
 11:41:40 PM,103
 11:41:43 PM,103
 11:41:46 PM,103
 11:41:47 PM,110
 11:41:50 PM,110
 11:41:53 PM,110
 11:41:56 PM,110
 11:41:59 PM,109
 11:42:02 PM,109
 11:42:05 PM,109
 11:42:08 PM,109
 11:42:10 PM,108
 11:42:13 PM,108
 11:42:16 PM,108
 11:42:19 PM,108
 11:42:20 PM,96
 11:42:23 PM,96
 11:42:26 PM,96
 11:42:29 PM,101
 11:42:30 PM,102
 11:42:33 PM,103
 11:42:36 PM,103
 11:42:37 PM,103
 11:42:40 PM,103
 11:42:43 PM,103
 11:42:46 PM,103
 11:42:49 PM,103
 11:42:50 PM,105
 11:42:53 PM,105
 11:42:56 PM,105
 11:42:59 PM,105
