HEART RATE DATE/TIME,VALUE,,,,,,,,,
  2:29:15 PM,74,,,,,,,,,
  2:29:30 PM,74,,,,,,,,,
  2:29:40 PM,74,,,,,,,,,
  2:29:45 PM,76,,,,,,,,,
  2:29:50 PM,75,,,,,,,,,
  2:30:00 PM,77,,,,,,,,,
  2:30:10 PM,77,,,,,,,,,
  2:30:20 PM,80,,,,,,,,,
  2:30:35 PM,80,,,,,,,,,
  2:30:50 PM,80,,,,,,,,,
  2:31:05 PM,81,,,,,,,,,
  2:31:10 PM,80,,,,,,,,,
  2:31:20 PM,80,,,,,,,,,
  2:31:30 PM,76,,,,,,,,,
  2:31:35 PM,74,,,,,,,,,
  2:31:40 PM,74,,,,,,,,,
  2:31:50 PM,77,,,,,,,,,
  2:32:00 PM,75,,,,,,,,,
  2:32:10 PM,76,,,,,,,,,
  2:32:25 PM,76,,,,,,,,,
  2:32:40 PM,77,,,,,,,,,
  2:32:45 PM,77,,,,,,,,,
  2:33:00 PM,77,,,,,,,,,
  2:33:15 PM,77,,,,,,,,,
  2:33:20 PM,77,,,,,,,,,
  2:33:35 PM,77,,,,,,,,,
  2:33:40 PM,78,,,,,,,,,
  2:33:50 PM,80,,,,,,,,,
  2:33:55 PM,79,,,,,,,,,
  2:34:10 PM,83,,,,,,,,,
  2:34:20 PM,84,,,,,,,,,
  2:34:35 PM,84,,,,,,,,,
  2:34:50 PM,85,,,,,,,,,
  2:35:05 PM,85,,,,,,,,,
  2:35:20 PM,86,,,,,,,,,
  2:35:35 PM,86,,,,,,,,,
  2:35:40 PM,88,,,,,,,,,
  2:35:45 PM,89,,,,,,,,,
  2:35:50 PM,88,,,,,,,,,
  2:36:00 PM,87,,,,,,,,,
  2:36:15 PM,87,,,,,,,,,
  2:36:30 PM,87,,,,,,,,,
  2:36:35 PM,86,,,,,,,,,
  2:36:40 PM,88,,,,,,,,,
  2:36:55 PM,88,,,,,,,,,
  2:37:05 PM,87,,,,,,,,,
  2:37:10 PM,88,,,,,,,,,
  2:37:15 PM,87,,,,,,,,,
  2:37:20 PM,85,,,,,,,,,
  2:37:25 PM,86,,,,,,,,,
  2:37:30 PM,86,,,,,,,,,
  2:37:35 PM,85,,,,,,,,,
  2:37:40 PM,86,,,,,,,,,
  2:37:45 PM,87,,,,,,,,,
  2:37:50 PM,85,,,,,,,,,
  2:37:55 PM,86,,,,,,,,,
  2:38:05 PM,86,,,,,,,,,
  2:38:15 PM,87,,,,,,,,,
  2:38:30 PM,87,,,,,,,,,
  2:38:40 PM,86,,,,,,,,,
  2:38:55 PM,86,,,,,,,,,
  2:39:10 PM,85,,,,,,,,,
  2:39:25 PM,85,,,,,,,,,
  2:39:40 PM,83,,,,,,,,,
  2:39:55 PM,83,,,,,,,,,
  2:40:05 PM,82,,,,,,,,,
  2:40:20 PM,82,,,,,,,,,
  2:40:35 PM,82,,,,,,,,,
  2:40:50 PM,82,,,,,,,,,
  2:41:05 PM,83,,,,,,,,,
  2:41:10 PM,83,,,,,,,,,
  2:41:25 PM,83,,,,,,,,,
  2:41:30 PM,82,,,,,,,,,
  2:41:40 PM,81,,,,,,,,,
  2:41:55 PM,81,,,,,,,,,
  2:42:05 PM,82,,,,,,,,,
  2:42:10 PM,83,,,,,,,,,
  2:42:25 PM,83,,,,,,,,,
  2:42:30 PM,83,,,,,,,,,
  2:42:45 PM,83,,,,,,,,,
  2:43:00 PM,83,,,,,,,,,
  2:43:15 PM,83,,,,,,,,,
  2:43:20 PM,84,,,,,,,,,
  2:43:30 PM,82,,,,,,,,,
  2:43:40 PM,80,,,,,,,,,
