Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention
17:58:41,170,65,46,51,0,4
17:58:42,171,65,46,51,0,4
17:58:43,172,65,39,51,0,4
17:58:44,173,65,44,51,0,4
17:58:45,174,65,44,51,0,4
17:58:46,175,65,40,51,0,4
17:58:47,176,65,37,51,0,4
17:58:48,177,65,43,51,0,4
17:58:49,178,65,54,51,0,4
17:58:50,179,63,51,51,0,4
17:58:51,180,63,59,51,0,4
17:58:52,181,63,53,51,0,4
17:58:53,182,63,50,51,0,4
17:58:54,183,63,37,51,0,4
17:58:55,184,63,37,51,0,4
17:58:56,185,63,36,51,0,4
17:58:57,186,63,37,51,0,4
17:58:58,187,64,36,51,0,4
17:58:59,188,64,40,22,0,4
17:59:00,189,63,36,40,0,4
17:59:01,190,63,34,40,0,4
17:59:02,191,62,34,40,0,4
17:59:03,192,62,36,40,0,4
17:59:04,193,62,35,40,0,4
17:59:05,194,62,36,40,0,4
17:59:06,195,62,34,40,0,4
17:59:07,196,62,35,40,0,4
17:59:08,197,62,34,40,0,4
17:59:09,198,62,36,40,0,4
17:59:10,199,62,37,40,0,4
17:59:11,200,62,36,40,0,4
17:59:12,201,62,35,40,0,4
17:59:13,202,62,35,40,0,4
17:59:14,203,62,34,40,0,4
17:59:15,204,62,34,40,0,4
17:59:16,205,62,35,40,0,4
17:59:17,206,62,34,40,0,4
17:59:18,207,62,36,40,0,4
17:59:19,208,62,35,40,0,4
17:59:20,209,62,33,40,0,4
17:59:21,210,62,36,40,0,4
17:59:22,211,62,36,40,0,4
17:59:23,212,62,35,40,0,4
17:59:24,213,62,35,40,0,4
17:59:25,214,62,36,40,0,4
17:59:26,215,62,35,40,0,4
17:59:27,216,62,35,40,0,4
17:59:28,217,62,34,40,0,4
17:59:29,218,62,35,40,0,4
17:59:30,219,67,37,40,0,4
17:59:31,220,67,37,40,0,4
17:59:32,221,67,34,40,0,4
17:59:33,222,67,35,40,0,4
17:59:34,223,67,36,40,0,4
17:59:35,224,67,35,40,0,4
17:59:36,225,67,34,40,0,4
17:59:37,226,67,33,40,0,4
17:59:38,227,67,33,40,0,3
17:59:39,228,67,34,40,0,3
17:59:40,229,68,33,40,0,3
17:59:41,230,68,33,40,0,3
17:59:42,231,68,35,40,0,3
17:59:43,232,68,35,40,0,3
17:59:44,233,68,37,40,0,3
17:59:45,234,68,35,40,0,3
17:59:46,235,68,35,40,0,3
17:59:47,236,68,36,40,0,3
17:59:48,237,68,35,40,0,3
17:59:49,238,68,36,40,0,3
17:59:50,239,68,36,40,0,3
17:59:51,240,68,36,40,0,3
17:59:52,241,68,35,40,0,3
17:59:53,242,68,36,40,0,3
17:59:54,243,68,34,40,0,3
17:59:55,244,68,35,40,0,3
17:59:56,245,68,35,40,0,3
17:59:57,246,68,36,40,0,3
17:59:58,247,68,37,40,0,3
17:59:59,248,68,34,40,0,3
18:00:00,249,69,34,40,0,3
18:00:01,250,69,36,40,0,3
18:00:02,251,69,34,40,0,3
18:00:03,252,69,33,40,0,3
18:00:04,253,69,34,40,0,3
18:00:05,254,69,45,40,0,3
18:00:06,255,69,44,40,0,3
18:00:07,256,69,39,40,0,3
18:00:08,257,69,40,40,0,3
18:00:09,258,69,42,40,0,3
18:00:10,259,70,37,40,0,3
18:00:11,260,70,41,40,0,3
18:00:12,261,70,41,40,0,3
18:00:13,262,70,43,40,0,3
18:00:14,263,70,37,40,0,3
18:00:15,264,70,39,40,0,3
18:00:16,265,70,41,40,0,3
18:00:17,266,70,45,40,0,3
18:00:18,267,70,41,40,0,3
18:00:19,268,70,41,40,0,3
18:00:20,269,71,47,40,0,3
18:00:21,270,71,53,40,0,3
18:00:22,271,71,49,40,0,3
18:00:23,272,71,51,40,0,3
18:00:24,273,71,52,40,0,3
18:00:25,274,71,53,40,0,3
18:00:26,275,71,53,40,0,3
18:00:27,276,71,50,40,0,3
18:00:28,277,71,49,40,0,3
18:00:29,278,71,51,40,0,3
18:00:30,279,67,52,40,0,3
18:00:31,280,67,52,40,0,3
18:00:32,281,67,50,40,0,3
18:00:33,282,67,43,40,0,3
18:00:34,283,67,47,40,0,3
18:00:35,284,67,49,40,0,3
18:00:36,285,67,46,40,0,3
18:00:37,286,67,49,40,0,3
18:00:38,287,67,52,40,0,3
18:00:39,288,67,48,40,0,3
18:00:40,289,67,51,40,0,3
18:00:41,290,67,49,40,0,3
18:00:42,291,67,52,40,0,3
18:00:43,292,66,48,40,0,3
18:00:44,293,66,51,40,0,3
18:00:45,294,65,49,40,0,3
18:00:46,295,65,50,40,0,3
18:00:47,296,64,50,40,0,3
18:00:48,297,64,51,40,0,3
18:00:49,298,64,53,40,0,3
18:00:50,299,64,54,40,0,3
18:00:51,300,64,34,40,0,3
18:00:52,301,64,34,40,0,3
18:00:53,302,64,34,40,0,3
18:00:54,303,64,34,40,0,3
18:00:55,304,64,35,40,0,3
18:00:56,305,64,36,40,0,3
18:00:57,306,64,45,40,0,3
18:00:58,307,64,35,40,0,3
18:00:59,308,66,36,40,0,3
18:01:00,309,67,46,40,0,3
18:01:01,310,67,45,40,0,3
18:01:02,311,68,44,40,0,3
18:01:03,312,68,38,40,0,3
18:01:04,313,68,35,40,0,3
18:01:05,314,68,41,40,0,3
18:01:06,315,68,46,40,0,3
18:01:07,316,68,34,40,0,3
18:01:08,317,68,44,40,0,3
18:01:09,318,68,41,40,0,3
18:01:10,319,68,34,14,0,3
18:01:11,320,68,42,39,0,3
18:01:12,321,68,35,39,0,3
18:01:13,322,68,35,39,0,3
18:01:14,323,68,33,39,0,3
18:01:15,324,68,34,39,0,3
18:01:16,325,68,35,39,0,3
18:01:17,326,68,35,39,0,3
18:01:18,327,68,35,39,0,3
18:01:19,328,68,36,39,0,3
18:01:20,329,68,36,39,0,3
18:01:21,330,68,39,39,0,3
18:01:22,331,68,34,39,0,3
18:01:23,332,68,35,39,0,3
18:01:24,333,68,33,39,0,3
18:01:25,334,68,34,39,0,3
18:01:26,335,68,35,39,0,3
18:01:27,336,68,33,39,0,3
18:01:28,337,68,33,39,0,3
18:01:29,338,68,39,39,0,3
18:01:30,339,66,35,39,0,3
18:01:31,340,66,33,39,0,3
18:01:32,341,66,35,39,0,3
18:01:33,342,66,34,39,0,3
18:01:34,343,66,38,39,0,3
18:01:35,344,66,45,39,0,3
18:01:36,345,66,34,39,0,3
18:01:37,346,66,34,39,0,3
18:01:38,347,66,36,39,0,3
18:01:39,348,66,34,39,0,3
18:01:40,349,64,35,39,0,3
18:01:41,350,64,44,39,0,3
18:01:42,351,64,35,39,0,3
18:01:43,352,64,47,39,0,3
18:01:44,353,64,35,39,0,3
18:01:45,354,64,36,39,0,3
18:01:46,355,64,34,39,0,3
18:01:47,356,64,41,5,0,3
18:01:48,357,64,33,37,0,3
18:01:49,358,64,34,37,0,3
18:01:50,359,64,33,37,0,3
18:01:51,360,64,43,37,0,3
18:01:52,361,64,34,37,0,3
18:01:53,362,64,32,37,0,3
18:01:54,363,64,32,37,0,3
18:01:55,364,64,34,37,0,3
18:01:56,365,64,35,37,0,3
18:01:57,366,64,35,37,0,3
18:01:58,367,64,33,37,0,3
