LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
0.0052,-0.0454,-0.0318,41.8304,2,40.362,14:55:35:940
-0.0098,-0.0059,0.0135,42,2,44.14,14:55:36:939
0.0102,0.0022,-0.1239,42.1732,2,53.311,14:55:37:939
-0.0201,-0.0074,-0.0292,42,2,37.761,14:55:38:939
-0.0069,-0.0192,0.0378,41.8316,2,39.309,14:55:39:939
-0.0107,-2.00E-04,-0.0213,42.5774,2,35.386,14:55:40:940
-0.0209,-0.0058,-0.0105,42.4108,2,36.537,14:55:41:938
0.0045,-0.0116,0.0928,42.5793,2,34.75,14:55:42:939
0.0329,-0.0035,0.0772,41.4181,2,32.836,14:55:43:938
-0.0163,-0.0398,0.0055,42.5845,2,49.54,14:55:44:939
0.0364,0.0263,-0.0909,41.8335,2,49.866,14:55:45:939
0.0568,-0.0357,0.0172,42.5829,2,53.156,14:55:46:937
0.0178,0.0151,-0.0205,41.8332,2,50.914,14:55:47:939
0.0073,-0.0026,-0.0208,42.5827,2,37.868,14:55:48:938
-0.0101,0.0288,-0.0209,42,2,34.565,14:55:49:940
-0.0065,-0.0067,0.0251,41.8356,2,31.963,14:55:50:938
0.013,0.006,-0.0137,42.5864,2,32.334,14:55:51:939
0.0021,0.0045,-0.0667,42.4148,2,32.94,14:55:52:942
-0.0049,0.0413,0.0117,42.5811,2,31.424,14:55:53:939
0.0173,-0.007,0.0535,42.4217,2,32.531,14:55:54:941
-0.0262,-0.0054,0.0818,42.1656,2,31.605,14:55:55:938
0.013,0.0172,0.0309,42.5819,2,32.651,14:55:56:938
-0.0196,0.0111,0.0301,42.597,2,31.641,14:55:57:938
0.0119,-0.0201,-0.0789,42.1533,2,32.763,14:55:58:938
-0.0263,0.0159,0.0612,42,2,33.339,14:55:59:939
0.0096,-0.001,0.0426,41.8372,2,31.955,14:56:00:938
0.002,-0.0308,0.0163,41.8418,2,31.726,14:56:01:939
0.0151,0.0029,-0.0307,42.1603,2,32.073,14:56:02:939
-0.0092,-0.0299,-0.01,42,2,31.054,14:56:03:938
0.0025,-0.04,0,41,2,33.396,14:56:04:939
0.018,-0.0104,-0.0279,41.8478,2,32.214,14:56:05:938
0.0169,0.0056,0.0074,42,2,33.569,14:56:06:938
0.0041,0.0289,0.0145,42.1766,2,33.176,14:56:07:939
-0.0254,-0.028,-0.0052,42.5823,2,33.411,14:56:08:938
0.0213,0.0182,-0.095,42.1677,2,33.023,14:56:09:939
-0.0082,-0.0325,-0.0042,42.5798,2,32.543,14:56:10:939
0.0069,-0.0185,0.0317,41.8469,2,32.583,14:56:11:938
0.0319,-0.0368,-0.0328,42.58,2,31.867,14:56:12:939
0.0077,-0.0022,0.0193,42.4275,2,30.245,14:56:13:948
0.0045,0.0103,0.0149,42,2,33.375,14:56:14:938
0.008,9.00E-04,0.0719,41.8223,2,33.968,14:56:15:938
-0.0182,-0.0447,0.0042,42.5796,2,32.756,14:56:16:938
-0.0095,-0.0049,0.012,42.1521,2,32.398,14:56:17:940
-0.0324,-0.0299,0.0035,42.415,2,32.393,14:56:18:939
0.0255,-0.0019,0.0624,42.1443,2,34.387,14:56:19:938
0.0024,-0.0048,0.0054,42,2,32.739,14:56:20:938
-0.0446,-0.0347,0.0078,42,2,32.716,14:56:21:940
0.0026,0.0164,0.033,41.8452,2,32.913,14:56:22:938
0.0051,0.0031,-0.0205,42,2,32.144,14:56:23:939
-0.0128,-3.00E-04,0.0178,42.4259,2,33.69,14:56:24:938
0.0068,-0.0145,0.095,42.5735,2,31.347,14:56:25:938
-0.0082,0.0516,-0.0195,42.1528,2,32.423,14:56:26:939
-0.0094,0.0142,-0.0192,42.5838,2,34.284,14:56:27:938
0.0249,-0.0169,-0.0035,42.4261,2,32.678,14:56:28:938
-0.0111,-0.0033,-0.0574,42.1812,2,34.144,14:56:29:939
-9.00E-04,0.0171,-0.0884,42.4233,2,37.992,14:56:30:939
-0.005,-0.012,0.0414,42.5752,2,41.074,14:56:31:938
0.0218,0.0223,-0.0418,41.8376,2,33.579,14:56:32:939
0.0242,-0.0165,0.0378,43,2,32.977,14:56:33:939
-0.0147,0.0272,-0.1103,42,2,31.687,14:56:34:939
-0.0159,0.004,-0.0053,42.1504,2,32.929,14:56:35:938
0.0063,0.0168,0.0717,41.8365,2,34.406,14:56:36:938
0.02,0.0135,0.0237,42.1517,2,32.473,14:56:37:938
0.0023,-0.0042,-0.0228,41.5883,2,31.759,14:56:38:938
0.0022,7.00E-04,0.0013,42.412,2,32.888,14:56:39:941
0.0147,-0.0154,0.0026,42.1521,2,34.617,14:56:40:938
0.0208,0.0187,-0.0066,42.4116,2,32.567,14:56:41:939
-0.0277,-0.0079,0.0321,42.4144,2,32.583,14:56:42:938
-0.0195,-0.01,0.0129,43,2,32.386,14:56:43:940
0.0209,-0.0075,-0.0757,41.7486,2,32.949,14:56:44:939
-0.0266,0.0021,0.0665,42.5852,2,32.599,14:56:45:938
-0.0206,-0.0309,0.0406,41.8212,2,34.965,14:56:46:938
-0.0219,-0.0397,-0.0211,42.1646,2,34.713,14:56:47:939
-0.0327,0.0106,-0.0178,42.417,2,34.514,14:56:48:940
0.0103,0.0094,-0.0523,42.4177,2,35.705,14:56:49:939
0.0031,0.0129,0.0034,42.5827,2,34.117,14:56:50:938
-0.011,0.0064,0.0052,41.7954,2,34.547,14:56:51:941
0.0026,-0.0092,0.0312,42.5821,2,33.761,14:56:52:942
0.0049,0.015,-0.003,42.4159,2,33.43,14:56:53:938
-0.0013,0.0048,0.0243,41.3975,2,34.311,14:56:54:939
-0.0122,-0.0126,-0.0114,43,2,33.332,14:56:55:938
3.00E-04,0.0018,0.013,42,2,32.579,14:56:56:941
0.0092,0.0276,0.0288,42.4187,2,34.283,14:56:57:939
-0.0243,-0.01,0.0464,42.1686,2,32.345,14:56:58:938
-0.0085,0.0063,-0.0082,41.8328,2,35.649,14:56:59:940
0.0191,-0.007,0.0391,42.5813,2,32.229,14:57:00:939
0.0345,-0.0292,0.0249,42.5848,2,32.327,14:57:01:939
-3.00E-04,0.0146,-0.0241,42.5773,2,31.371,14:57:02:939
-0.0519,0.0359,0.044,41.8309,2,32.789,14:57:03:939
0.0222,-0.0084,-0.0215,42.188,2,33.31,14:57:04:938
0.0231,0.0087,0.0361,42.4183,2,39.025,14:57:05:939
-0.0481,0.001,-0.0311,42.4151,2,39.599,14:57:06:939
-0.0044,-0.0183,-0.007,42.1568,2,37.645,14:57:07:941
0.0082,-0.014,0.0195,41.8281,2,32.875,14:57:08:939
0.0448,0.0178,-0.0636,42.5831,2,36.994,14:57:09:947
-0.0014,0.0317,0.004,42.573,2,38.517,14:57:10:938
0.0388,0.0054,-0.0033,41.8397,2,40.37,14:57:11:938
0.0026,0.0074,0.0187,43,2,40.833,14:57:12:939
-0.0166,0.0075,-0.0043,41.5769,2,40.14,14:57:13:938
-0.0298,-0.022,0.0117,41.8349,2,40.848,14:57:14:938
0.0156,-0.0258,-0.0109,42.5776,2,41.417,14:57:15:939
0.0174,-0.0086,0.0499,42.4193,2,39.96,14:57:16:938
-4.00E-04,-0.0052,0.0482,43,2,40.657,14:57:17:938
-0.0065,-0.0179,0.0076,42.5764,2,41.863,14:57:18:939
0.0212,-0.0024,-0.1649,42.1602,2,50.791,14:57:19:939
0.014,-0.019,0.0286,41.8536,2,45.428,14:57:20:939
-0.0087,-0.0212,0.0531,41.8478,2,41.142,14:57:21:940
0.0343,4.00E-04,-0.03,42.5852,2,42.443,14:57:22:938
0.0019,0.0122,0.0614,42.5852,2,42.524,14:57:23:938
-0.0449,0.0021,-0.0363,42.1544,2,41.278,14:57:24:938
-0.0267,-0.0021,-0.0201,43,2,42.705,14:57:25:938
-0.003,-0.0045,-0.0049,42.1606,2,42.102,14:57:26:940
0.0077,0.0021,-0.0799,42.5935,2,43.749,14:57:27:938
0.0311,0.045,-0.0296,42.4125,2,38.105,14:57:28:938
-0.036,-0.0167,0.0155,42.1865,2,34.716,14:57:29:938
