LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (i),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
0.0225,-0.0049,-0.0466,53.5679,2,61.927,15:55:19:875
0.0145,-0.0116,0.0225,53.1436,2,63.356,15:55:20:876
-0.0286,0.0102,0.008,53.5725,2,61.53,15:55:21:879
0.0158,0.0184,-0.0248,53.1444,2,59.435,15:55:22:875
-0.0103,-0.0457,0.0132,54,2,62.465,15:55:23:876
0.0233,0.0138,0.1085,53.1361,2,66.469,15:55:24:875
0.0159,0.0085,0.0082,53.5738,2,54.538,15:55:25:875
0.0039,0.0479,-0.0234,53.1597,2,56.282,15:55:26:875
0.0037,-0.0022,-0.0338,53.5679,2,54.756,15:55:27:874
0.0098,-0.0097,0.0799,52.8593,2,53.445,15:55:28:875
0.0065,0.0284,0.0467,53.5679,2,44.692,15:55:29:875
0.0094,0.0122,0.0132,52.8646,2,62.548,15:55:30:875
0.0032,-0.0118,-0.0435,53.5679,2,59.102,15:55:31:875
0.0175,0.0271,0.0122,53.1344,2,46.161,15:55:32:875
0.0377,-0.0088,0.0418,53,2,56.636,15:55:33:875
-0.0031,0.0259,0.0069,52.8304,2,42.752,15:55:34:876
0.0011,-0.0011,0.0137,53,2,63.718,15:55:35:875
-0.0047,-0.0307,-0.022,52.8429,2,67.866,15:55:36:875
0.0372,0.0136,-0.0355,53,2,59.915,15:55:37:875
0.0323,-0.0307,-0.0178,52.5801,2,59.089,15:55:38:876
-0.0411,-0.0147,0.0438,52.4317,2,59.93,15:55:39:875
-0.0062,0.0087,-0.0019,51,2,59.973,15:55:40:877
-0.0166,-0.0158,0.0418,52.4333,2,18.667,15:55:41:877
-0.007,-1.00E-04,-0.0994,51.8664,2,56.818,15:55:42:876
-0.0395,0.0126,-8.00E-04,52.4189,2,60.555,15:55:43:875
-6.00E-04,0.0177,-0.0197,52.1673,2,61.557,15:55:44:876
-0.0056,-0.0055,0.1022,53,2,50.581,15:55:45:876
-0.0462,-0.0333,0.0351,52.5811,2,61.042,15:55:46:875
0.0419,0.0433,0.0237,52.5793,2,31.799,15:55:47:876
-0.0427,-0.0306,-0.0186,52.1644,2,65.501,15:55:48:887
-0.009,-0.0098,-0.0098,53,2,57.029,15:55:49:876
0.0103,0.0057,-0.0542,53.4218,2,42.509,15:55:50:876
-0.005,-0.0095,-0.0136,52.4315,2,34.305,15:55:51:875
-0.0474,0.0037,-0.0086,53.1328,2,20.635,15:55:52:876
0.0203,-0.0207,0.0372,53.5662,2,57.407,15:55:53:875
-0.0142,0.05,0.0085,53.1366,2,51.51,15:55:54:877
0.0065,1.00E-04,-0.005,53.5683,2,34.945,15:55:55:875
-0.0056,-0.0207,-8.00E-04,52.5822,2,52.421,15:55:56:876
-0.0308,0.0115,0.0589,53.1596,2,48.913,15:55:57:875
0.0063,-0.017,0.0431,53.1328,2,15.472,15:55:58:886
-0.0138,0.0118,5.00E-04,53.58,2,52.799,15:55:59:876
-0.0295,0.0062,-0.0528,53.4242,2,52.16,15:56:00:876
0.017,-0.021,0.0016,53.4155,2,54.473,15:56:01:875
-0.0019,0.0391,-0.0639,53.1602,2,18.472,15:56:02:876
-0.033,0.0014,-0.0446,53.1617,2,64.433,15:56:03:878
0.0151,0.0115,0.0138,53,2,44.867,15:56:04:875
0.0037,-0.0105,5.00E-04,52.8546,2,49.852,15:56:05:875
0.0027,0.0053,-0.0041,53,2,23.023,15:56:06:876
-0.0128,0.013,0.0277,52.5811,2,59.525,15:56:07:875
0.0028,-0.0253,-0.0171,53.1355,2,60.786,15:56:08:876
0.0209,-0.0097,-0.036,53.5664,2,56.866,15:56:09:875
0.0048,0.0065,-0.0152,52.8688,2,71.897,15:56:10:875
0.0042,0.0336,-0.0316,53.4312,2,62.817,15:56:11:875
-0.0075,0.0118,0.026,53.1371,2,46.374,15:56:12:875
-0.0041,0.0292,0.0083,53.5686,2,68.331,15:56:13:875
-0.0071,0.0191,0.0346,52.8612,2,66.68,15:56:14:886
0.0099,0.0245,0.0439,53.5679,2,60.676,15:56:15:875
0.046,-0.0093,0.0272,53.1379,2,57.342,15:56:16:875
-0.0032,-0.0294,-0.0121,53,2,60.044,15:56:17:875
-0.0033,-0.0196,-0.0056,52.869,2,71.764,15:56:18:875
0.0071,-0.0207,0.049,53.5726,2,55.224,15:56:19:875
0.0012,0.0103,-0.0274,52.8671,2,62.466,15:56:20:875
-0.0128,-0.0294,-0.0075,52.8627,2,74.091,15:56:21:875
0.0227,0.0042,-0.0483,53.4296,2,52.16,15:56:22:876
-0.0022,-0.0325,0.0431,52.8554,2,59.547,15:56:23:875
0.0183,-0.02,0.0145,53.5684,2,48.495,15:56:24:876
0.0228,-0.0107,-0.0133,53.5684,2,50.533,15:56:25:875
0.001,-0.0364,-0.035,52.8404,2,29.445,15:56:26:875
0.0075,-0.005,-0.1021,53.1345,2,17.521,15:56:27:877
5.00E-04,0.0163,-0.0411,53,2,68.72,15:56:28:876
9.00E-04,-9.00E-04,0.025,53,2,67.836,15:56:29:877
-0.0216,-9.00E-04,0.006,53.4336,2,73.491,15:56:30:875
0.016,-0.0123,0.028,53.5686,2,70.161,15:56:31:875
0.0323,-0.0291,0.0726,53,2,57.354,15:56:32:875
-0.0242,0.0036,-0.0897,52.4315,2,15.907,15:56:33:874
0.0411,0.0459,0.0546,52.8673,2,15.358,15:56:34:877
-0.0167,-0.0093,-0.0317,53.5722,2,16.074,15:56:35:875
0.0124,0.0552,0.1094,53.1795,2,15.33,15:56:36:876
0.0194,0.0204,0.109,52.8508,2,15.316,15:56:37:876
0.0218,-0.0045,0.039,53,2,15.418,15:56:38:875
0.0245,0.0435,0.0173,53.1548,2,15.349,15:56:39:877
0.0088,0.0268,-0.0595,53.1682,2,15.341,15:56:40:875
0.0157,-0.0152,0.0335,53.1447,2,15.297,15:56:41:875
-0.0272,0.0046,-0.0209,52.8571,2,15.396,15:56:42:875
-0.0102,-0.0117,0.0224,52.573,2,17.022,15:56:43:875
-0.0237,0.0045,-0.0174,53.5719,2,38.481,15:56:44:876
-0.0277,-0.0379,-0.0433,53.4139,2,16.997,15:56:45:876
0.0172,0.0328,0.0014,53.4252,2,15.484,15:56:46:875
0.0142,-0.0137,0.007,53,2,18.154,15:56:47:875
-0.0185,-0.0085,0.0632,53.1554,2,59.159,15:56:48:875
