LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.00E-04,-0.0274,0.0347,84.61,5,1007.65,28.1,46.531,186032,23:11:46:662
0.0574,-0.0109,-0.0567,84.61,5,1007.66,28.1,51.727,187032,23:11:47:662
0.0187,-0.0529,-0.0072,84.61,5,1007.67,28.1,47.987,188032,23:11:48:662
0.0183,-0.0078,-0.0344,84.61,5,1007.68,28.1,41.882,189032,23:11:49:662
0.0335,0.0249,-0.0318,84.61,5,1007.7,28.1,38.744,190032,23:11:50:662
0.0039,-0.0014,0.019,84.61,5,1007.69,28.1,37.56,191033,23:11:51:663
0.0233,0.0169,0.0568,84.61,5,1007.69,28.1,44.606,192032,23:11:52:662
-0.0057,-0.035,0.0365,84.61,5,1007.68,28.1,42.329,193033,23:11:53:663
-0.015,0.0362,0.0224,84.61,5,1007.67,28,42.174,194032,23:11:54:662
-0.0103,-0.0203,-0.002,84.61,5,1007.64,28,43.565,195032,23:11:55:662
-0.08,0.0271,0.0537,84.61,5,1007.66,28,36.269,196033,23:11:56:663
0.0193,0.0191,-0.0379,84.61,5,1007.62,28,33.485,197032,23:11:57:662
0.0218,-0.0298,-0.0203,84.61,5,1007.64,28,46.33,198032,23:11:58:662
0.0856,0.0106,0.0672,84.61,5,1007.65,28,41.323,199032,23:11:59:662
-0.0091,0.0067,-0.048,84.61,5,1007.65,28,36.887,200032,23:12:00:662
0.0152,-0.0078,-0.0606,84.61,5,1007.65,28,34.879,201032,23:12:01:662
-0.0136,-0.007,-0.0421,84.61,5,1007.63,28,47.34,202033,23:12:02:663
0.0114,-0.0324,-0.0267,84.61,5,1007.66,28,39.769,203032,23:12:03:662
0.0364,0.0199,2.00E-04,84.61,5,1007.65,28,43.645,204032,23:12:04:662
0.0113,-0.0079,0.0161,84.61,5,1007.67,28,36.583,205032,23:12:05:662
-0.0124,9.00E-04,0.0734,84.61,5,1007.69,28,47.23,206032,23:12:06:662
0.0342,0.0013,-0.0022,84.61,5,1007.69,28,47.228,207032,23:12:07:662
-0.0066,-0.0189,-0.0269,84.61,5,1007.69,28,44.265,208032,23:12:08:662
0.0057,0.0069,-0.0035,84.61,5,1007.68,28,51.321,209032,23:12:09:662
0.0067,-0.0121,-0.0055,84.61,5,1007.69,28,48.999,210033,23:12:10:663
-0.0563,-0.0095,0.0018,84.61,5,1007.69,28,45.58,211032,23:12:11:662
0.0345,0.0635,-0.0047,84.61,5,1007.72,28,51.038,212032,23:12:12:662
0.0696,-0.0174,0.0684,84.61,5,1007.7,28,46.472,213032,23:12:13:662
-0.0195,0.0542,-0.0201,84.61,5,1007.7,28,48.589,214032,23:12:14:662
0.0141,-0.0607,0.0183,84.61,5,1007.7,28,49.617,215032,23:12:15:662
0.0197,-0.0025,-0.0192,84.61,5,1007.7,28,48.695,216032,23:12:16:662
-0.0602,-0.0109,0.0107,84.61,5,1007.69,28,53.88,217032,23:12:17:662
0.0188,0.0074,0.0483,84.61,5,1007.7,27.9,41.754,218033,23:12:18:663
-0.0314,-0.0022,0.0098,84.61,5,1007.72,27.9,45.818,219032,23:12:19:662
0.0209,-0.0024,0.0485,84.61,5,1007.69,27.9,53.54,220032,23:12:20:662
-0.0409,0.0079,0.0142,84.61,5,1007.71,27.9,40.306,221033,23:12:21:663
-0.0034,0.0342,0.0172,84.61,5,1007.71,27.9,40.046,222032,23:12:22:662
-0.0223,0.0407,0.012,84.61,5,1007.71,27.9,43.115,223033,23:12:23:663
-0.0208,0.0285,-0.0317,84.61,5,1007.71,27.9,38.074,224032,23:12:24:662
0.0335,-0.0437,0.0185,84.61,5,1007.73,27.9,41.102,225032,23:12:25:662
-0.0305,-0.0095,0.09,84.61,5,1007.71,27.9,50.781,226032,23:12:26:662
-0.006,-0.014,-0.035,84.61,5,1007.73,27.9,48.81,227032,23:12:27:662
-0.0079,0.0244,0.0264,84.61,5,1007.72,27.9,51.787,228033,23:12:28:663
-0.0346,0.0279,-0.0425,84.61,5,1007.75,27.9,54.05,229032,23:12:29:662
-0.0073,-0.0508,-0.0302,84.61,5,1008,27.9,50.718,230032,23:12:30:662
0.0246,-0.0038,-0.021,84.61,5,1007.93,28,45.463,231032,23:12:31:662
0.0545,0.0085,-0.0159,84.61,5,1007.85,28,36.329,232032,23:12:32:662
0.0398,0.0059,0.0268,84.61,5,1007.82,28,34.824,233032,23:12:33:662
0.0098,-0.0461,-0.0281,84.61,5,1007.76,28,35.365,234032,23:12:34:662
0.0535,0.002,-0.0254,84.61,5,1007.75,28,35.182,235032,23:12:35:662
-0.0467,-0.02,-0.079,84.61,5,1007.77,28,36.408,236032,23:12:36:662
0.001,-0.0095,0.0929,84.61,5,1007.73,27.9,36.082,237033,23:12:37:663
-0.037,-0.0141,0.0172,84.61,5,1007.75,28,35.319,238033,23:12:38:663
-0.0378,-0.0051,-0.0094,84.61,5,1007.74,27.9,36.026,239032,23:12:39:662
-0.0237,-0.0232,-0.0423,84.61,5,1007.72,27.9,35.5,240033,23:12:40:663
1.00E-04,0.0311,0.0114,84.61,5,1007.71,27.9,36.612,241032,23:12:41:662
0.027,0.041,0.0813,84.61,5,1007.72,27.9,36.168,242032,23:12:42:662
-0.0361,0.0029,0.023,84.61,5,1007.67,27.9,49.997,243033,23:12:43:663
0.0069,0.0025,-0.0806,84.61,5,1007.66,27.9,47.918,244032,23:12:44:662
-0.0101,-0.0418,-0.0386,84.61,5,1007.65,27.9,51.105,245033,23:12:45:663
0.0059,0.0251,0.1277,84.61,5,1007.63,27.9,54.224,246032,23:12:46:662
0.0468,0.0122,0.0378,84.61,5,1007.75,27.9,49.481,247032,23:12:47:662
0.0153,-0.0051,0.0061,84.61,5,1007.7,27.9,50.196,248032,23:12:48:662
0.0035,0.0023,0.0716,84.61,5,1007.66,27.9,50.01,249032,23:12:49:662
0.0399,0.0085,0.0279,84.61,5,1007.64,27.9,47.833,250032,23:12:50:662
0.0041,-0.0291,0.0297,84.61,5,1007.65,27.9,52.937,251033,23:12:51:663
-0.0197,0.0493,0.0298,84.61,5,1007.63,27.9,50.276,252033,23:12:52:663
0.0342,-0.0136,0.0405,84.61,5,1007.62,27.9,51.053,253032,23:12:53:662
-0.0596,0.0029,0.0195,84.61,5,1007.6,27.9,51.253,254032,23:12:54:662
0.001,0.0327,0.0042,84.61,5,1007.63,27.9,51.864,255033,23:12:55:663
-0.0439,-0.0143,-0.0283,84.61,5,1007.62,27.9,50.047,256032,23:12:56:662
-0.0214,0.0401,0.047,84.61,5,1007.65,27.9,51.582,257032,23:12:57:662
-0.0634,-0.0547,0.0424,84.61,5,1007.63,27.9,51.732,258032,23:12:58:662
-0.0414,0.0494,-0.0407,84.61,5,1007.64,27.9,51.525,259032,23:12:59:662
-0.0324,0.0058,0.073,84.61,5,1007.65,27.9,52.09,260033,23:13:00:663
0.021,0.0074,0.0579,84.61,5,1007.66,27.9,51.207,261032,23:13:01:662
0.0395,0.0155,0.0013,84.61,5,1007.66,27.9,51.529,262033,23:13:02:663
-4.00E-04,-0.0163,-0.0358,84.61,5,1007.65,27.9,52.32,263032,23:13:03:662
