LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.012,0.0227,-0.0214,42.45,5,1014.5,28.8,0,270009,17:25:04:228
0.0047,0.0293,0.0076,42.45,5,1014.47,28.8,0,271009,17:25:05:228
-0.0434,-0.0155,0.0463,42.45,5,1014.5,28.8,0,272009,17:25:06:228
0.0764,0.0038,-0.0285,42.45,5,1014.48,28.8,0,273009,17:25:07:228
0.0171,-0.0307,-0.0676,42.45,5,1014.47,28.8,0,274009,17:25:08:228
0.0015,-0.0158,-0.0646,42.45,5,1014.45,28.8,0,275010,17:25:09:229
-0.049,0.0084,-0.0119,42.45,5,1014.49,28.8,0,276009,17:25:10:228
-0.0599,0.0592,-0.0504,42.45,5,1014.49,28.8,0,277009,17:25:11:228
0.0064,0.024,-0.0296,42.45,5,1014.49,28.8,0,278009,17:25:12:228
0.0439,-0.0245,-0.0578,42.45,5,1014.5,28.8,0,279009,17:25:13:228
-0.0242,0.0114,-0.0104,42.45,5,1014.51,28.8,0,280010,17:25:14:229
-0.0425,0.0401,-0.0116,42.45,5,1014.49,28.8,0,281008,17:25:15:227
-0.034,0.0025,0.0213,42.45,5,1014.51,28.8,0,282008,17:25:16:227
-0.0533,-0.0275,0.0127,42.45,5,1014.49,28.8,0,283009,17:25:17:228
0.0315,-0.0082,-0.0563,42.45,5,1014.48,28.7,0,284009,17:25:18:228
-0.008,-0.0696,-0.0196,42.45,5,1014.48,28.7,0,285009,17:25:19:228
-0.0344,-0.0038,0.0407,42.45,5,1014.49,28.7,0,286009,17:25:20:228
0.0144,7.00E-04,-0.0079,42.45,5,1014.49,28.7,0,287009,17:25:21:228
-0.0326,-0.0042,0.0052,42.45,5,1014.49,28.7,0,288009,17:25:22:228
-0.0075,-0.0191,0.0403,42.45,5,1014.5,28.7,0,289010,17:25:23:229
0.0052,-0.0404,-0.1073,42.45,5,1014.49,28.7,0,290009,17:25:24:228
-0.0282,-0.0226,-0.0279,42.45,5,1014.51,28.7,0,291009,17:25:25:228
0.0464,0.0466,-0.0334,42.45,5,1014.52,28.7,0,292009,17:25:26:228
0.0043,0.0137,-0.0493,42.45,5,1014.51,28.7,0,293010,17:25:27:229
-0.0198,0.0285,0.0225,42.45,5,1014.49,28.7,0,294009,17:25:28:228
0.015,-0.0347,0.0406,42.45,5,1014.49,28.7,0,295008,17:25:29:227
-0.0213,-0.013,-0.1018,42.45,5,1014.5,28.7,0,296010,17:25:30:229
0.0143,0.0107,0.0317,42.45,5,1014.49,28.7,0,297009,17:25:31:228
-0.0582,0.0257,0.0658,42.45,5,1014.5,28.7,0,298009,17:25:32:228
-0.0285,-0.0655,0.086,42.45,5,1014.5,28.7,0,299009,17:25:33:228
0.0041,0.0202,-0.0372,42.45,5,1014.52,28.7,0,300010,17:25:34:229
0.0261,-0.0022,-0.042,42.45,5,1014.53,28.7,0,301009,17:25:35:228
-0.0135,0.0083,0.032,42.45,5,1014.52,28.7,0,302009,17:25:36:228
-0.0128,-0.0048,0.0133,42.45,5,1014.51,28.7,0,303010,17:25:37:229
